date,currency_code,Country,local_price,dollar_ex,dollar_price,Year,Code,gdp_growth,GDP_Per_Capita,GDP,country_code,region,sub_region,GDP_log10
4/1/2002,AUD,Australia,3,1,3,2002,AUS,4.055503124,47926.72787,9.6464E+11,36,Oceania,Australia and New Zealand,
4/1/2002,BRL,Brazil,3.6,2,1.8,2002,BRA,5.759964639,9346.039343,1.71973E+12,76,Americas,Latin America and the Caribbean,
5/1/2004,CAD,Canada,3.19,1,3.19,2004,CAN,2.634566042,48014.9312,1.5639E+12,124,Americas,Northern America,
4/1/2002,CLP,Chile,1400,655,2.14,2002,CHL,7.209539709,10726.64485,1.71787E+11,152,Americas,Latin America and the Caribbean,
4/1/2002,CNY,China,10.5,8,1.31,2002,CHN,10.11122346,2467.132843,3.19759E+12,156,Asia,Eastern Asia,
4/1/2002,CZK,Czech Republic,56.28,34,1.66,2002,CZE,4.906563764,16930.1897,1.72639E+11,203,Europe,Eastern Europe,11.23713855
4/1/2002,DKK,Denmark,24.75,8,3.09,2002,DNK,2.668219293,57608.73723,3.11348E+11,208,Europe,Northern Europe,11.49324573
4/1/2002,HUF,Hungary,459,272,1.69,2002,HUN,5.004918024,12549.66936,1.26841E+11,348,Europe,Eastern Europe,11.10326082
4/1/2002,IDR,Indonesia,16000,9430,1.7,2002,IDN,5.030873945,2420.397182,5.4044E+11,360,Asia,South-eastern Asia,
4/1/2002,ILS,Israel,12,4,3,2002,ISR,4.244082573,26926.23416,1.83341E+11,376,Asia,Western Asia,
4/1/2002,JPY,Japan,262,130,2.02,2002,JPN,2.204687882,43671.67997,5.57954E+12,392,Asia,Eastern Asia,
4/1/2002,MYR,Malaysia,5.04,3,1.68,2002,MYS,6.783437734,7720.830429,1.94493E+11,458,Asia,South-eastern Asia,
4/1/2002,MXN,Mexico,21.9,9,2.43,2002,MEX,3.92059081,9190.741592,9.6057E+11,484,Americas,Latin America and the Caribbean,
4/1/2002,NZD,New Zealand,3.6,2,1.8,2002,NZL,4.033887944,32663.71533,1.33513E+11,554,Oceania,Australia and New Zealand,
4/1/2002,NOK,Norway,35,8,4.38,2002,NOR,3.959038032,86820.34131,3.98671E+11,578,Europe,Northern Europe,11.60061486
4/1/2002,PEN,Peru,8.5,3,2.83,2002,PER,4.958203206,3602.999725,99530031846,604,Americas,Latin America and the Caribbean,
4/1/2002,PHP,Philippines,65,51,1.27,2002,PHL,6.697623613,1767.437901,1.49721E+11,608,Asia,South-eastern Asia,
4/1/2002,PLN,Poland,5.9,4,1.48,2002,POL,5.135631293,9610.455943,3.66949E+11,616,Europe,Eastern Europe,11.56460519
4/1/2002,SGD,Singapore,3.3,1,3.3,2002,SGP,9.819526862,38619.85912,1.60916E+11,702,Asia,South-eastern Asia,
4/1/2002,ZAR,South Africa,9.7,10,0.97,2002,ZAF,4.554552745,6472.08762,3.06075E+11,710,Africa,Sub-Saharan Africa,
4/1/2002,SEK,Sweden,26,10,2.6,2002,SWE,4.31078326,48872.08307,4.39533E+11,752,Europe,Northern Europe,11.64299109
4/1/2002,CHF,Switzerland,6.3,1,6.3,2002,CHE,2.7762235,68781.61259,5.0827E+11,756,Europe,Western Europe,11.70609475
4/1/2002,THB,Thailand,55,43,1.28,2002,THA,6.289288549,4190.479159,2.72361E+11,764,Asia,South-eastern Asia,
4/1/2002,TRY,Turkey,4000000,1324500,3.02,2002,TUR,9.644322585,9009.472627,6.03733E+11,792,Asia,Western Asia,
6/1/2005,CAD,Canada,3.28,1,3.28,2005,CAN,2.072813099,48536.53941,1.59632E+12,124,Americas,Northern America,
4/1/2003,ARS,Argentina,4.1,2,2.05,2003,ARG,8.85165992,8577.864994,3.33618E+11,32,Americas,Latin America and the Caribbean,
4/1/2003,AUD,Australia,3,1,3,2003,AUS,3.204198796,48813.88488,9.95549E+11,36,Oceania,Australia and New Zealand,
4/1/2003,BRL,Brazil,4.55,3,1.52,2003,BRA,3.20213138,9535.41883,1.7748E+12,76,Americas,Latin America and the Caribbean,
1/1/2006,CAD,Canada,3.52,1,3.52,2006,CAN,1.007608302,48497.56017,1.6124E+12,124,Americas,Northern America,
4/1/2003,CLP,Chile,1400,716,1.96,2003,CHL,5.742830489,11225.07995,1.81652E+11,152,Americas,Latin America and the Caribbean,
4/1/2003,CNY,China,9.9,8,1.24,2003,CHN,11.39577594,2732.16588,3.56198E+12,156,Asia,Eastern Asia,
4/1/2003,CZK,Czech Republic,56.57,28,2.02,2003,CZE,6.533468806,18011.3867,1.83918E+11,203,Europe,Eastern Europe,11.26462461
4/1/2003,DKK,Denmark,27.75,6,4.62,2003,DNK,2.336641324,58792.66046,3.18623E+11,208,Europe,Northern Europe,11.50327688
4/1/2003,HUF,Hungary,490,224,2.19,2003,HUN,4.388215174,13126.45566,1.32407E+11,348,Europe,Eastern Europe,11.1219123
4/1/2003,IDR,Indonesia,16100,8740,1.84,2003,IDN,5.692571304,2524.222424,5.71205E+11,360,Asia,South-eastern Asia,
4/1/2003,JPY,Japan,262,120,2.18,2003,JPN,1.662670405,44393.62638,5.67231E+12,392,Asia,Eastern Asia,
4/1/2003,MYR,Malaysia,5.04,3,1.68,2003,MYS,5.332139149,7974.250853,2.04863E+11,458,Asia,South-eastern Asia,
4/1/2003,MXN,Mexico,23,10,2.3,2003,MEX,2.307807066,9270.656542,9.82738E+11,484,Americas,Latin America and the Caribbean,
4/1/2003,NZD,New Zealand,3.95,1,3.95,2003,NZL,3.32140288,33369.8055,1.37947E+11,554,Oceania,Australia and New Zealand,
4/1/2003,PEN,Peru,7.9,3,2.63,2003,PER,6.285060325,3796.2034,1.05786E+11,604,Americas,Latin America and the Caribbean,
4/1/2003,PHP,Philippines,65,52,1.25,2003,PHL,4.77766782,1817.219867,1.56874E+11,608,Asia,South-eastern Asia,
4/1/2003,PLN,Poland,6.3,3,2.1,2003,POL,3.49366448,9950.585246,3.79769E+11,616,Europe,Eastern Europe,11.57951896
4/1/2003,SGD,Singapore,3.3,1,3.3,2003,SGP,7.35903621,40498.70613,1.72758E+11,702,Asia,South-eastern Asia,
4/1/2003,ZAR,South Africa,13.95,7,1.99,2003,ZAF,5.277056312,6729.807279,3.22227E+11,710,Africa,Sub-Saharan Africa,
4/1/2003,SEK,Sweden,30,8,3.75,2003,SWE,2.816677338,50048.08745,4.51913E+11,752,Europe,Northern Europe,11.65505465
4/1/2003,CHF,Switzerland,6.3,1,6.3,2003,CHE,3.11524553,70471.43852,5.24104E+11,756,Europe,Western Europe,11.71941763
4/1/2003,THB,Thailand,59,42,1.4,2003,THA,4.187834924,4337.878711,2.83767E+11,764,Asia,South-eastern Asia,
4/1/2003,TRY,Turkey,3750000,1600500,2.34,2003,TUR,9.009853307,9692.120586,6.58129E+11,792,Asia,Western Asia,
5/1/2006,CAD,Canada,3.52,1,3.52,2006,CAN,1.007608302,48497.56017,1.6124E+12,124,Americas,Northern America,
5/1/2004,ARS,Argentina,4.36,2,2.18,2004,ARG,8.0471515,9174.502458,3.60465E+11,32,Americas,Latin America and the Caribbean,
5/1/2004,AUD,Australia,3.25,1,3.25,2004,AUS,2.794529221,49443.19659,1.02337E+12,36,Oceania,Australia and New Zealand,
5/1/2004,BRL,Brazil,5.4,3,1.8,2004,BRA,3.961988722,9805.724506,1.84512E+12,76,Americas,Latin America and the Caribbean,
1/1/2007,CAD,Canada,3.63,1,3.63,2007,CAN,-2.928400182,46542.90487,1.56519E+12,124,Americas,Northern America,
5/1/2004,CLP,Chile,1400,641,2.18,2004,CHL,6.317176343,11808.83477,1.93128E+11,152,Americas,Latin America and the Caribbean,
5/1/2004,CNY,China,10.4,8,1.3,2004,CHN,12.71947902,3062.534905,4.01504E+12,156,Asia,Eastern Asia,
